Leon Draisaitl,EDM,C,29,23,26,49,9,20,98,6,13,8,1,0,13,5
Alex Ovechkin,WAS,LW,31,22,25,47,18,6,145,2,5,5,1,0,42,7
Auston Matthews,TOR,C,27,20,13,33,3,6,121,4,8,7,0,0,22,23
Troy Terry,ANH,C,31,18,12,30,3,12,74,4,5,4,0,0,3,10
Kyle Connor,WPG,LW,30,18,14,32,-2,2,126,2,2,6,0,0,12,5
Chris Kreider,NYR,LW,30,18,8,26,2,12,88,1,11,3,0,0,60,11
Connor McDavid,EDM,C,29,17,32,49,6,25,109,1,5,17,0,0,29,7
Andrew Mangiapane,CGY,LW,28,17,3,20,5,16,71,4,5,1,1,0,31,8
Alex DeBrincat,CHI,RW,30,17,6,23,-8,9,94,2,6,3,0,0,44,16
Sebastian Aho,CAR,LW,26,15,17,32,12,12,85,1,6,3,0,1,15,12
Dylan Larkin,DET,C,27,15,14,29,3,16,78,3,3,2,0,0,15,13
Jake Guentzel,PIT,LW,24,15,12,27,0,12,91,2,4,3,0,0,31,20
Ryan Hartman,MIN,RW,30,14,12,26,22,29,103,4,1,2,0,0,32,15
Mikko Rantanen,COL,RW,24,14,16,30,11,16,81,0,7,5,0,0,23,8
Steven Stamkos,TB,C,29,14,21,35,6,8,78,3,6,4,0,0,35,13
Jonathan Marchessault,VGK,LW,27,14,7,21,-1,10,85,2,2,2,0,0,22,8
Tomas Hertl,SJ,LW,30,14,8,22,-6,6,81,1,3,2,0,0,36,14
Pierre-Luc Dubois,WPG,C,30,14,11,25,3,28,86,2,6,2,0,0,35,21
Josh Norris,OTT,C,28,14,8,22,2,8,76,3,5,1,0,0,33,25
Cale Makar,COL,D,23,13,13,26,6,6,64,3,3,7,0,0,23,28
Filip Forsberg,NSH,RW,21,13,9,22,3,8,61,4,2,4,0,0,19,16
John Tavares,TOR,C,29,13,19,32,4,12,95,1,5,5,0,0,23,18
Matt Duchene,NSH,C,26,13,12,25,0,10,81,3,4,4,0,0,5,9
Marcus Foligno,MIN,LW,30,13,7,20,14,50,46,2,4,1,0,0,87,17
William Nylander,TOR,C,30,13,18,31,1,6,109,4,5,9,0,0,5,3
Nikolaj Ehlers,WPG,LW,30,12,12,24,8,10,121,1,0,3,0,0,16,14
Jared McCann,SEA,C,25,12,5,17,-7,8,62,0,5,0,0,0,24,9
Adrian Kempe,LA,C,30,12,5,17,-4,20,87,4,1,3,1,0,42,7
Tyler Bertuzzi,DET,LW,23,12,9,21,12,16,60,3,1,1,0,0,20,15
Andre Burakovsky,COL,LW,25,12,9,21,-1,12,50,2,3,3,0,0,19,14
Timo Meier,SJ,LW,25,12,17,29,10,0,111,5,3,1,0,0,53,19
Roope Hintz,DAL,LW,27,12,10,22,6,8,72,3,2,6,2,0,26,15
Kirill Kaprizov,MIN,LW,30,12,24,36,11,10,105,2,1,6,0,0,31,10
Jordan Eberle,SEA,RW,28,12,9,21,-14,2,56,1,3,3,0,0,22,19
Joe Pavelski,DAL,RW,29,12,15,27,6,8,62,1,6,3,0,0,41,23
Max Pacioretty,VGK,LW,15,12,9,21,9,11,75,3,3,4,0,0,12,8
Vladimir Tarasenko,STL,RW,31,12,17,29,0,10,107,3,2,8,0,1,34,23
Cam Atkinson,PHI,RW,29,12,8,20,12,6,85,4,1,0,2,0,10,18
Matthew Tkachuk,CGY,LW,28,12,11,23,12,30,93,2,6,3,0,0,35,8
Brady Tkachuk,OTT,LW,25,12,10,22,5,56,80,2,3,0,0,0,100,13
Zach Hyman,EDM,RW,26,11,8,19,-5,16,72,1,3,2,1,1,28,6
Boone Jenner,CLS,LW,28,11,7,18,-6,8,72,1,5,1,0,0,24,28
Brandon Saad,STL,LW,27,11,3,14,-5,4,65,0,4,1,1,0,9,8
Claude Giroux,PHI,C,29,11,14,25,-6,12,78,0,2,5,0,0,25,3
Nazem Kadri,COL,C,24,11,27,38,7,30,75,1,5,9,0,0,20,5
Brad Marchand,BOS,LW,21,11,16,27,3,38,61,1,3,8,1,0,31,7
Joel Eriksson Ek,MIN,C,30,11,9,20,8,16,89,1,6,0,0,0,51,21
Elias Lindholm,CGY,RW,28,11,16,27,20,2,82,2,3,6,1,0,20,16
Pavel Buchnevich,STL,LW,29,11,18,29,14,18,92,1,4,6,0,1,19,7
Ivan Barbashev,STL,LW,31,11,14,25,4,16,48,0,3,3,1,1,52,14
Bo Horvat,VAN,C,31,10,9,19,0,16,86,1,3,2,0,0,33,19
Valeri Nichushkin,COL,LW,18,10,6,16,10,2,47,1,1,0,2,0,25,8
Aleksander Barkov,FLA,C,16,10,8,18,13,2,47,2,2,0,0,0,14,4
Evan Rodrigues,PIT,C,30,10,13,23,8,0,99,1,4,0,0,0,31,12
Roman Josi,NSH,D,30,10,19,29,7,18,107,1,5,8,0,0,16,42
Patrice Bergeron,BOS,C,25,10,13,23,6,10,92,2,4,6,0,1,33,22
Johnny Gaudreau,CGY,LW,28,10,20,30,16,6,92,3,1,4,0,0,4,3
Reilly Smith,VGK,RW,32,10,14,24,4,6,88,2,2,3,2,1,29,10
Brock Nelson,NYI,C,19,10,3,13,-4,13,46,1,3,1,0,0,11,14
Jonathan Huberdeau,FLA,LW,29,10,23,33,7,22,75,2,1,8,1,0,37,12
J.T. Miller,VAN,C,31,10,22,32,1,16,80,1,4,11,0,0,64,22
Lucas Raymond,DET,RW,31,10,18,28,2,4,64,1,3,3,0,0,17,12
Jesse Puljujarvi,EDM,RW,28,10,13,23,7,10,75,1,3,2,0,0,33,7
Tage Thompson,BUF,RW,30,10,8,18,-5,13,93,0,2,2,0,0,22,9
Jason Robertson,DAL,LW,23,10,15,25,7,14,59,3,3,4,0,0,6,5
Alexandre Texier,CLS,C,28,9,7,16,3,6,48,0,0,0,1,0,10,8
